name	vocabulary_machine_name	description	format	weight	parent	field_right_body
Accessibility	tags	<p>Accessibility is a term that is widely spread in the web. In real life a place is accessible when it can be easily reached by different routes, means and by all people including ones with disabilities. In the web site terminology this concept is very similar, the web site is accessible when each page can easily be reached through links which are placed in a way that the information can easily be found. Generally, an ideal approach is to place links in the web site so that each web page can be found by navigating from the home page using no more than 3 clicks. The page must have a SEO friendly URL, meta tags that helps robots such as search engines to classify the content of the web page, a good guideline is to have a page with no more than 30/40 links per page, no use JavaScript to hide links or content unless is necessary, content should be consistent amount the site, the topics should be related to each other.</p>	filtered_html	0		
Audio & Video	tags	<p>In publishing sector, forums, blogs, social media, image gallery: news, events, images and videos are published daily. As the content of such web sites grows exponentially over the time, Drupal is very powerful content management system to support categorisation of the content using taxonomies. The content of the web pages (nodes, blocks, views) can be classified and easily be found through a search form, a calendar, a list of categories, references, related topics, latest articles, top hits, my favourites, etc..</p>	filtered_html	1		
Content Management	tags	<p>A Content Management System is a software that allows a users such as an administrator or editor to publish or edit existing content of the web site. Drupal is built in PHP and MySQL, all the content is saved in nodes, blocks, taxonomies, content types. Drupal used templates to displays content which can also be aggregated through views. We can set up your custom content types and templates to display them.</p>	filtered_html	2		
Custom Modules	tags	<p>As Drupal is written in PHP there is no limit to what you can do with it. You can use a lot of existing modules but you can also create your custom solution to tailor the application to your specific needs. You only need to create a custom module that extends the most popular Drupal hooks: <i>hook_init(), hook_form_alter(), hook_schema(), hook_theme(), hook_install(), hook_permission(), hook_menu()</i></p>	filtered_html	3		
Database Integration	tags	<p>Drupal can also be integrated with other complex system that uses other databases such as PostgreSQL, MongoDB, MySQL Server. In the settings.php you can specify multiple data base connections so that the application can grab the information from more than one data base. I worked in a projects where Drupal was used only to store the content for the front-end and most of the heavy data was stored in a different data base. I have also been involved in headless Drupal projects where Drupal is used only to store the data and the front end use a different technology such as Angular, Jequery calls that grab the content from Drupal using a set of Drupal API web services.</p>	filtered_html	4		
Drupal consulting	tags	<p>Drupal is a very complex framework that works primarily with a set of core predefined hooks (in the core modules folder). A Hook is just a normal function written in PHP, the greatest difference is that this special function can be used and extended in Drupal by developing new modules. There are a lot of contributes modules that extend these hooks, they usually are placed in sites/module/contrib. If you need something more specific than you can create your own module and place it in sites/module/custom. Note: never modify an existing core or contributed module, always create your custom module. The great advantage of this approach is the modularity: re-use exiting module by keeping them very generic so that they can easily be shared among the modules.</p>	filtered_html	5		
eCommerce / Online Store	tags	<p>Even though Drupal was not original built for supporting great eCommerce systems such as other open source framework like Magento, it has lot of modules to set up an online stores. We can set up products, which are a special content type with a field for the price, category, stock, colour, size. There is a module that implement the baskets and other modules that support different payment gateways such as PayPal, Barclays card and all different card association such as Visa/MasterCard/American Express.</p>	filtered_html	6		
Email Marketing	tags	<p>Drupal is ideal to create registration forms so that you can keep a list of your clients with their details such as email address, full name, address and other preferences. Therefore you can use the Drupal news letter system to send to your customers the most up to dated offers and news about your web site. Drupal also supports lot of Free Mail Marketing Solutions such as MailChimp.</p>	filtered_html	7		
Increase Donations	tags	<p>Many Charities have been using Drupal to rise money. You just need to set up a registration form and linked it to a payment Gateway. You do not need a very elaborated web site, usually a campaign just need a front page with a form. Drupal can be easily be set up, you only need to buy a hosting package to run PHP on a Linux Server and a MySQL database.</p>	filtered_html	9		
Increase Sales	tags	<p>You can already have a well established Ecommerce system, but Drupal can be used to set up a sub domain to host news, blog or a forums about your products. Or you can set up an application to create a competition in Faceboock or pull your latest twitts from Twitter.</p>	filtered_html	10		
Information Architecture	tags	<p>One of the greatest advantage of Drupal is that it is extremely flexible. This leave to the developer lot of freedom on how to implement the solution. Basically there are lot of different ways to achieve the same goal. The best ways to use Drupal is to set up an architecture that will be scalable for your application. The best approach is to set up a different content types or entities, one for each specific real entity. You can cross reference entities using entity reference so do not create only one entity that host the whole application data, but create relations between small entities so that data is stored efficiently and it will be easier to scale and it will have higher performance. If you need to display aggregated information you can use views to JOIN multiple entities.</p>	filtered_html	11		
Integrated Content Strategy	tags	<p>In your Strategy you should decide: how many content type should I have? Should I allow user registration? If so, which roles and permissions should I set up? Should all content be visible to all users roles? What about anonymous users? How heavily should I be using views, blocks, form API or variables? Note: views sometimes can be very slow, therefore try to use them efficiently, the content of the nodes should always be displayed though specific content types templates rather then views: page-news.tpl.php, do not use views with contextual filters that cannot be efficiently retrieved (such as LIKE on string).</p>	filtered_html	12		
